qid,band,pi_en,pi_cm,pi_zh
806688,0-20,0.03772127620182272,-0.010872390306831292,-0.08690326318440073
1047625,0-20,0.056311372608262036,-0.04702333806546117,-0.12341527787366927
568585,0-20,0.016762591202444638,-0.012180046969704896,-0.08322491635262733
9926,0-20,0.017109710224390794,-0.02351676938919613,-0.0873505859886798
280927,0-20,0.00487503890793573,-0.03587417870199172,-0.12797580321076213
944451,0-20,-0.009801272434451584,-0.04844587908106325,-0.13652392454132412
79891,0-20,0.01278799950880611,-0.04953614420716938,-0.12572946007895355
387864,0-20,0.028475893158242664,0.011927628837823119,-0.06709680308197727
264827,0-20,0.03611944976313789,-0.046360119305403444,-0.09575650020134363
18759,0-20,-0.03897325161932465,-0.047429809288450406,-0.11560885897321505
868598,0-20,-0.0032344997475084025,-0.03897590436911494,-0.131712076348846
161418,0-20,0.005888900785155377,-0.07585281341199739,-0.09197996614296003
903097,0-20,0.05166515463487444,0.024512363568833254,-0.06865486205565731
992365,0-20,0.010281226208258049,-0.03703484538550021,-0.11826421817445112
1098510,0-20,-0.033868700893546655,-0.07305093306558788,-0.11717294369648894
1037033,0-20,0.005996134843420301,-0.049808499971895355,-0.12475819634989242
292225,0-20,0.03317735799046667,0.010888623836621411,-0.07382936964999173
685591,0-20,-0.04162280129647665,-0.04972132476728819,-0.15642382647984415
540306,0-20,0.016815467053129137,-0.00915706773986194,-0.09810308403258042
595236,0-20,0.02961649790957685,0.021491711393577605,-0.05273735373319488
994479,0-20,0.013689516820147024,-0.032468120304310746,-0.10032788162112447
1007628,0-20,0.01931223901578811,-0.013710434739944814,-0.07750231686135353
711682,0-20,0.06055653889132137,-0.010263685561278504,-0.1031930241680735
994133,0-20,-0.04677658026125841,-0.06182117033730375,-0.11766517509423272
1064155,0-20,0.03456994948970284,-0.009343862393095181,-0.09066098223550234
12741,0-20,0.009171584693094224,-0.014878140476627468,-0.09329453606450983
786477,0-20,-0.002889165781175679,-0.013169025238133233,-0.10418431405254465
787255,0-20,0.05852831418913951,0.018282813106844455,-0.10354375219644042
1001108,0-20,-0.004001277636328387,-0.01527996235226339,-0.10279630732760489
1026775,0-20,-0.01627285704431055,-0.037725978119118514,-0.13183912070081075
1026991,0-20,0.001375389677027843,-0.023780431476228475,-0.08030861231120336
922389,0-20,0.023509508397359654,-0.0443942053606774,-0.10290513053576843
1022907,0-20,0.0489676642825153,0.01626938594951602,-0.05488321994981489
837372,0-20,-0.05498976719647141,-0.09834119205373812,-0.15052495045753697
1094612,0-20,-0.03386132550326543,-0.02177803970218669,-0.13624638993513452
939744,0-20,0.012959295162375182,-0.0188104738716954,-0.0824753947806991
846806,0-20,-0.011086822877769418,-0.033809510470089524,-0.1393894849382598
1021682,0-20,0.027964311692605635,-0.01630013446653622,-0.07844047888229495
414714,0-20,-0.022617617954207775,-0.0454244768326956,-0.12816899143648103
946825,0-20,0.03370338158409157,-0.01096263139242738,-0.07899972730174346
428424,0-20,-0.03079707337212125,-0.04885232104936998,-0.1402606414153165
1034839,0-20,-0.00780933921286691,-0.06013273677407971,-0.060938042947058214
584695,0-20,-0.0008970428553857039,-0.04331089137257856,-0.10631366500072578
1083948,0-20,0.017298296813801413,-0.07866642828163414,-0.1123482382280405
34039,0-20,0.0460697168102753,-0.022872234547687456,-0.09117679067311095
844128,0-20,0.004811852111348448,-0.06610884464428819,-0.09345420386434124
1047592,0-20,0.08628606204175157,0.04983964110712745,-0.10875855506258149
932639,0-20,-0.014640839216690819,-0.008917747972840924,-0.05559958425230257
1083663,0-20,0.04658322028345532,0.008226154257514308,-0.07895742574382082
473492,0-20,-0.022477527744902574,-0.07522995827802786,-0.10731496579995786
995221,0-20,-0.04730399351007449,-0.07608820329199296,-0.14524581812815648
1098111,0-20,0.0026976272284797466,-0.032489422314603895,-0.10527570929890168
1096886,0-20,0.04252126417372341,0.0044761395629596135,-0.09535913042493926
81075,0-20,0.006236870662911933,-0.04623034336145962,-0.13412882660423725
291396,0-20,0.04084309867901731,-0.014538592332990118,-0.07016220225763606
1092029,0-20,-0.03728174634150273,-0.09324267609061836,-0.15308172240411191
1098608,0-20,0.0711726328976267,0.007421323297857146,-0.1516084653388335
289812,0-20,0.0401698513212527,-0.0945504346327595,-0.14501166944393834
409694,0-20,-0.00772824685719355,-0.02299333346115192,-0.1237544058452817
267566,0-20,0.051546042726366245,0.0265734647597936,-0.09769009332730991
823549,0-20,-0.029592320173478133,-0.026313401202564316,-0.059809472462744075
1043815,0-20,-0.013974997268734444,-0.06206462320199186,-0.10248645510992115
1096357,0-20,0.003858801100401092,-0.04064819499787985,-0.11152325264280205
575492,0-20,-0.008028445987883284,-0.04096630810306012,-0.12209580293012615
440269,0-20,0.0036179652835060146,-0.05169143044377623,-0.12741490577079767
941865,0-20,0.010884458453389558,-0.02477292969547981,-0.07044348097022471
1099099,0-20,0.00024844612141537714,-0.03840672572185643,-0.13107353676209027
912234,0-20,0.011677593940766423,-0.01896860034665942,-0.08822302985630928
665231,0-20,-0.009327578198534575,-0.07885457167874517,-0.11663576399254752
338040,0-20,-0.010027244663239822,-0.02947336060957246,-0.08514542248750123
499068,0-20,0.019201800301339285,0.005511217381177767,-0.11259116874117397
263670,0-20,0.04232781224754195,0.041778816953365695,-0.04974973222894059
6791,0-20,-0.046580970784927664,-0.04429130482885981,-0.047767519802947016
299023,0-20,0.002380815611524985,-0.021413019911730193,-0.09973119277066675
353623,0-20,-0.006787082013822627,-0.05637940422379816,-0.1045139040618296
298550,0-20,-0.01937713968416017,-0.0567460534492229,-0.10968347311724844
510158,0-20,0.014044143438952616,-0.021556334355727683,-0.08568862991047031
239648,0-20,0.014617554026535133,-0.013783948627281672,-0.09845266783977202
404051,0-20,0.00984551356586219,-0.049646862020803484,-0.08907489692611233
326410,0-20,-0.051386664849430275,-0.07993697435293097,-0.14207368996163605
443489,0-20,-0.020902731567886204,-0.061105915822508045,-0.12479082664354185
51276,0-20,0.0711421800851969,0.05701424741505386,-0.08002234117909135
166111,0-20,0.01972091638027565,-0.036867130206662005,-0.11930826581026327
808716,0-20,0.007442456883677791,-0.04017231422579733,-0.08668054335773423
1083535,0-20,-0.015096887959396371,-0.03799978253065049,-0.13181579155093168
988119,0-20,0.0010148481942255285,-0.05507931396923121,-0.11226456996184629
1097119,0-20,0.012746747115664495,-0.053160674058400345,-0.10194659530409605
209651,0-20,-0.05006439507938789,-0.08690833458416947,-0.1778859721877804
455853,0-20,-0.032713829474371785,-0.10891682977696973,-0.10524259121782244
1010607,0-20,-0.07605291637692434,-0.09857007076528398,-0.13975068246257283
826518,0-20,0.036455577137113296,-0.041384406757921384,-0.09735995468479704
231109,0-20,0.021231886529575746,-0.045453165600354284,-0.057123015673771094
342115,0-20,-0.030164696512972808,-0.055895153247026146,-0.12740416058959836
1101902,0-20,0.01068271417453639,-0.027509169479035603,-0.06691658340654169
837181,0-20,0.03552825205220449,-0.03758344230856006,-0.10599996741693671
657974,0-20,0.011319376276335927,-0.04326841460670994,-0.1060164277544833
1005653,0-20,0.015676484703457585,-0.04906688988629543,-0.09098786181719112
1030230,0-20,-0.015523904943090628,-0.02454015648592657,-0.10019180567746008
1018359,0-20,-0.009039470347538433,-0.03333467778140286,-0.12502897985919964
612846,0-20,0.056236693753432564,0.04716429486048734,-0.10355022196595405
830531,0-20,0.011582945663956526,-0.02239089718907421,-0.08397213461150124
149670,0-20,0.0146404063795448,0.013075633307130328,-0.06721835494274728
61836,0-20,-0.019536665926200226,-0.035305497003465226,-0.0786776341596734
54531,0-20,-0.056987819833173074,-0.06560518987366035,-0.16156796359276182
1023363,0-20,0.03766216054259822,-0.04448814709556149,-0.10705858441771825
21765,0-20,0.021781317393964068,-0.060336898829652444,-0.12644656432030793
1073721,0-20,0.008447097214060374,-0.03230422737118968,-0.09760302967259316
1000864,0-20,-0.00220844296809369,-0.06232248968696838,-0.14688077824764267
993883,0-20,0.006797478564611848,-0.027458105324327776,-0.10996629219995771
1096493,0-20,0.032831428760329,-0.002474286531215387,0.032831428760329
994792,0-20,-0.02679094663804183,-0.05622561513075747,-0.1202979790113409
911605,0-20,0.048129612564734275,0.01459345079172615,-0.07475084237388682
1012026,0-20,-0.009289097672605665,-0.01752016845743884,-0.09987676072018523
1033962,0-20,0.007202901784480544,-0.043168567447678934,-0.1122307555705179
913374,0-20,0.043185115044825584,-0.011631287618982175,-0.09127262533667707
1004199,0-20,-0.006322169918317057,-0.07588825122371488,-0.08442127938823932
1101279,0-20,-0.024048714634768053,-0.0472044596849255,-0.13181213848530576
1045567,0-20,0.053045182614256434,0.010853228125104641,-0.04715046424807266
277623,0-20,0.02353504632974314,-0.019349823124840335,-0.10167728949196296
994005,0-20,0.022706290166921543,-0.023962852790481857,-0.08672425592243624
571237,0-20,-0.004776676422878342,-0.08276067691448533,-0.12314116461284576
1032019,0-20,0.008196857728992278,-0.010571815274681623,-0.06213056238974102
877161,0-20,0.0005068688893157813,-0.01494144869787889,-0.11942453876294276
29097,0-20,-0.002952963443951153,-0.056214142058887674,-0.0871667422929904
1092007,0-20,0.03406421440666287,-0.003968116943817287,-0.10726547879266693
256783,0-20,-0.024105849655059387,-0.05035996505498788,-0.13277836644190572
1005500,0-20,0.04411555845469404,-0.005570689234035914,-0.09111171523401966
1098609,0-20,-0.006126979135515999,-0.026933388492224822,-0.12982053041496872
828036,0-20,0.010223461048452164,-0.025578007927120075,-0.09626303853082002
1058885,0-20,0.029854490086308284,0.017579323461940355,-0.1272040488256551
1097461,0-20,0.04493192495713152,0.009220578995650052,-0.1081336593736979
1000574,0-20,-0.013497794510398276,-0.029414952688000675,-0.10187209091876823
882141,0-20,-0.010642723502466919,-0.05205249534779763,-0.09131987159671481
1005678,0-20,0.06325976951932386,0.034216528200790984,-0.05288466488081292
1040353,0-20,0.023747017890824035,0.0080677498712661,-0.05196249702382675
660999,0-20,0.04836017207343285,-0.0011359864200688706,-0.029655086760285984
1051352,0-20,0.025963745526309458,-0.025621740941459626,-0.04109877270037698
155234,0-20,-0.003813795924005217,-0.04827986728406976,-0.11711923378940614
926019,0-20,0.0001513567921018165,-0.08866584258359261,-0.15635105565348062
601684,0-20,0.04684166619838807,-0.023092424126308204,-0.06641595136331055
1097885,0-20,0.0022525884049967096,-0.023325807801081285,-0.10063756891841472
1077844,0-20,-0.03251965175887653,-0.07854732238108106,-0.13804322226630583
986316,0-20,0.030085737232453884,-0.027269858478708463,-0.12290228381631099
75335,0-20,0.059177188421002114,-0.005099625372738334,-0.03342100292787374
1069474,0-20,-0.03347626811663063,-0.0702912968058329,-0.1042177418168411
71238,0-20,0.05447602390694735,-0.0457000362985059,-0.11158338511022699
975688,0-20,0.01196850128277692,-0.07237374510937443,-0.09912315805545766
422893,0-20,-0.03397361168811393,-0.07623811157073533,-0.13689571434814995
1097796,0-20,0.027074381956942943,-0.027351082433052162,-0.11043801494077753
59190,0-20,-0.08478468522018576,-0.09015226401955777,-0.1214737583843269
89418,0-20,-0.04117884012715314,-0.09215611652303832,-0.14844734678675703
18101,0-20,-0.044332426940136005,-0.06516813305601946,-0.11045004298927275
997713,0-20,0.021754304576721485,0.0029232931884860466,-0.09999662003654337
994478,0-20,0.046317619634765994,-0.03843127223619268,-0.11111641786153728
845892,0-20,0.06633564775374365,0.03587689316885523,-0.043917890999612554
903235,0-20,0.031192620555956632,0.022438206308237087,-0.07444798486524287
1094081,0-20,0.03787037778749092,0.013986688003007793,-0.12241610107494236
403095,0-20,0.014226421006392204,-0.0065644345830204055,-0.0909947990755566
815243,0-20,-0.03576144302676852,-0.05708467268247867,-0.12292028811004427
1013965,0-20,0.027767322872680272,-0.037477198024991776,-0.12070208632787643
183723,0-20,-0.01919549539243508,-0.04427479850059282,-0.13401829418565853
749399,0-20,-0.0006941670648875336,-0.04808751744657582,-0.10418572684677249
1002584,0-20,-0.028942779991706146,-0.08008862421096985,-0.11324502695525118
985431,0-20,0.007438792066096208,-0.02487241329202839,-0.06059783580837788
272605,0-20,-0.02443906950867562,-0.06685721176587403,-0.12014817207425324
599720,0-20,-0.021107620393356844,-0.01799022650251258,-0.11446220363012728
961048,0-20,-0.07838871053761748,-0.08979507840629525,-0.10569080256411231
1085327,0-20,0.0005015205463765682,-0.043532485620558545,-0.10553824735436311
917015,0-20,0.000827522020685454,-0.025544605527590795,-0.11386144947744531
1000000,0-20,-0.05632384887048024,-0.14316471746894466,-0.1644078561599982
1007473,0-20,-0.08283493412841528,-0.08031059228330803,-0.14070484744031864
1007606,0-20,0.017613153477142575,-0.02126621153495244,-0.08335102075652495
565915,0-20,0.0024704770434366523,-0.03207581446174199,-0.12829225361509744
1011381,0-20,-0.04110112214709693,-0.06315708354720397,-0.11985486038354255
161117,0-20,-0.0031725646683004524,-0.034802760099404834,-0.11092141661547339
393696,0-20,-0.007933737122339819,-0.03267242779935682,-0.08944878519305802
540456,0-20,0.002958753295079719,-0.07033276761463941,-0.10286316831900283
995805,0-20,0.03336677213634589,-0.03600710767159269,-0.08301444147799245
294518,0-20,0.06051196795389337,0.009160064815867765,-0.12895175399525832
1017498,0-20,0.028220609514861834,-0.03407018125734976,-0.12209689715439889
862701,0-20,0.024155963328407044,-0.022319227749758284,-0.0705943349742629
663006,0-20,0.0008480990544424902,-0.051662497095319976,-0.0892296982522537
898631,0-20,0.046608119120330686,-0.049680824225095996,-0.13380084704163026
844594,0-20,0.03547625651504403,-0.0276375428891423,-0.09785012155894121
944949,0-20,0.0111281978835579,-0.031820837835960694,-0.10203176239028082
235089,0-20,0.07626991947106884,-0.0038723504522685716,-0.032795531883405185
1099452,0-20,-0.019540464948387237,-0.02973838493519193,-0.11021242123777394
1101977,0-20,0.036161170561445494,-0.014929073275826031,-0.11437079961701047
1010277,0-20,0.004678012305464026,-0.012793976318518899,-0.1016381832618181
1016013,0-20,0.026778800092573257,0.009757796062342321,-0.07798889868824355
988915,0-20,-0.009187860901722307,-0.02447070359337767,-0.09720268697426666
689851,0-20,-0.012647985658170808,-0.021246009521933937,-0.11510917961628038
1080406,0-20,-0.0178794772473011,-0.026313115646864393,-0.13504603334483697
417946,0-20,0.035674035826427586,-0.01097869208368838,-0.11523739228045324
1085924,0-20,-0.005923909886819408,-0.018947172570878718,-0.12021134895244584
169305,0-20,0.051283200984279284,-0.011828091921589092,-0.11176374717546131
215603,0-20,-0.017761994540748033,-0.06268437717572552,-0.1135567218929329
754191,0-20,-0.0012852488798217702,-0.018527282734011052,-0.10668853172959519
992224,0-20,0.05316870284532502,0.02026633453778054,-0.11071746000249581
1082653,0-20,-0.006409831521836846,-0.041599861090027106,-0.09365345073759695
994941,0-20,-0.05403564110495789,-0.08034277653676411,-0.16782487969563203
766808,0-20,-0.0006925332222052164,-0.051430902614887336,-0.13003424023767685
838116,0-20,-0.02041832079479631,-0.03360643578559896,-0.08139592578153992
833268,0-20,-0.01702521087047541,-0.0575727321466057,-0.12013095835532361
964152,0-20,0.0013069411490225172,-0.04553866587245149,-0.13304884599023717
884722,0-20,0.005447074853551489,-0.021900226035748552,-0.09776342996391893
273481,0-20,-0.0034719352895304437,-0.05712395696650135,-0.1304979778538642
323382,0-20,0.022806306801539528,-0.04622980448488264,-0.13487340302614872
771170,0-20,0.03277749933252249,-0.0009555294015206085,-0.09654097173841678
298113,0-20,-0.02738034088844923,-0.08769779842924133,-0.12299971478237093
1024166,0-20,0.022908442023908446,-0.025897892623442335,-0.10047849778764217
995806,0-20,-0.007652041604279323,-0.054956332257474046,-0.1415634500063347
759062,0-20,0.013997223741263061,-0.013440113043520444,-0.1124516678909602
256192,0-20,-0.005084431039247475,-0.09519296025190524,-0.10883277187169921
1033927,0-20,-0.03554933874876006,-0.11134036164022612,-0.1462661795694577
1094469,0-20,-0.011552200854788697,-0.057218186140751796,-0.08853058422966983
1008947,0-20,-0.017565157059541037,-0.07289327356980803,-0.11462007987695924
1079050,0-20,-0.007139255057462305,-0.03399507079862922,-0.10810202958770371
550565,0-20,-0.025163212478769455,-0.03786143504435811,-0.1231059891986835
1098169,0-20,0.014369260158726763,-0.02467924980049429,-0.09453513912842523
1095687,0-20,0.005928507219877808,-0.11228789759084054,-0.1462873643232361
913137,0-20,0.004563985269178401,-0.04843621397385638,-0.11618260747487857
63152,0-20,-0.04884725126283665,-0.09190638481208006,-0.12772301133574152
242061,0-20,0.017741088546163415,-0.023260705081434623,-0.10490544232251828
1020907,0-20,0.01344741867484182,-0.015914313321078746,-0.1329546799714323
899423,0-20,0.0037886420257287837,-0.02569983224877268,-0.1270143846874387
1047088,0-20,0.01970784438096187,-0.05063658597686087,-0.10143354454797222
848478,0-20,0.04529398509072139,-0.0030385450561650025,-0.08096970838974188
436475,0-20,0.003158262899455146,-0.05767001705905548,-0.10572394461411991
1009994,0-20,-0.015234745005222192,-0.03442597010221921,-0.11853437300123476
323815,0-20,-0.02094414887707094,-0.07248815253894962,-0.12421612358548285
635647,0-20,0.05250815035752447,0.01433053212976517,-0.06239379461725585
782079,0-20,-0.008437267335509738,-0.05649679634730823,-0.08960775167884563
626701,0-20,-0.0073257348428873055,-0.084429943462855,-0.10581809477847626
944231,0-20,0.0168276676731162,-0.035077327759967136,-0.1113943365523462
663890,0-20,0.0007787952667864971,-0.044795164180023724,-0.0773873323029307
1096401,0-20,0.011581663835555705,-0.035569100857215756,-0.11559544249751935
160255,0-20,0.048989385630108975,-0.020659943756906107,-0.14347394876917474
1019470,0-20,-0.04097746679007425,-0.044913283745730746,-0.12160888102002707
813605,0-20,-0.024075842157993292,-0.07431364275850014,-0.09744350014431438
567159,0-20,-0.018894117817019718,-0.044295530678953914,-0.10624740409620138
1099284,0-20,0.03126064543506732,-0.017346689777759508,-0.08587500402846943
559318,0-20,0.009842416405023598,-0.0165735494804749,-0.07104305645232542
1094566,0-20,0.03048888659224848,-0.03974662171975009,-0.09575515816262561
1002238,0-20,0.0034657814641526567,-0.026078817842216082,-0.10873461680342023
428113,0-20,0.00827598974808777,-0.02059310625553673,-0.12132282219180374
816289,0-20,-0.03486131449630693,-0.07619348753213892,-0.11509977014565725
1099108,0-20,-0.015660903951038047,-0.022989198253561726,-0.10131398420040272
1086594,0-20,0.05937266149370863,0.010575608145098739,-0.11103035402599606
1033534,0-20,0.03753687244611406,0.031607464730848175,-0.08673458548334831
320792,0-20,-0.017027316688737183,-0.060569224013152,-0.13288484970086106
209764,0-20,0.04181365682037869,-0.0038427638045866203,-0.10585792068347857
930326,0-20,0.019672072894512487,-0.02226173561702864,-0.0843316805993505
992407,0-20,-0.010763320064661706,-0.03702321283055508,-0.14519314312828205
482808,0-20,0.005562853753936909,-0.03495750839958358,-0.13143937944962902
1050253,0-20,0.002519901165430184,-0.023552689203065177,-0.10821707507775338
1098806,0-20,-0.048551496834243035,-0.08111537276456049,-0.13514000302530238
865426,0-20,0.0043355326418984055,-0.03562319959310763,-0.06913012554753645
686541,0-20,0.012374502472110981,-0.022855878620358844,-0.09373615033074098
885986,0-20,0.033891659177862035,-0.053519823969541004,-0.08557924594052968
408945,0-20,-0.02213938337328443,-0.053817406484366836,-0.15418639804572584
1091749,0-20,-0.03842325345116116,-0.07204192735726189,-0.13130179445263201
993834,0-20,0.009046384279631583,0.007617456389701835,-0.1014619156563042
1073801,0-20,-0.03837139900809341,-0.08839438503559341,-0.09981283694557708
206549,0-20,-0.006524328154023796,-0.04138502562736872,-0.11211987786285232
1029617,0-20,0.056473796224307767,0.040753523506842415,-0.05979596777579743
1006509,0-20,5.967078448847196e-05,-0.03286660958532543,-0.15394318706094623
253678,0-20,-0.007731443123254113,-0.04230362220117582,-0.13080995024557002
953274,0-20,0.03766822159491224,0.0238650463943392,-0.09833615745106306
1099626,0-20,0.01848865959217233,-0.005105121009657855,-0.08562278807078491
849561,0-20,0.007966792613465142,-0.03178507184404021,-0.08838275614138386
1086708,0-20,0.011220123372973984,-0.02042293099821165,-0.09803301786865654
569507,0-20,0.07477396339238276,0.05435820071835072,-0.046484557584885476
575096,0-20,0.01263272557868807,-0.04391141383173651,-0.09333703084143996
1092005,0-20,-0.014328785417747025,-0.029988855950195594,-0.08617528874671115
1070867,0-20,-0.015528217031469801,-0.07811583625447334,-0.11828410926851943
1096025,0-20,0.016975322141841765,-0.010815527215767156,-0.0877723768622653
740263,0-20,0.014051115516517373,-0.06630419148824335,-0.1192674214980784
1097746,0-20,0.012154096927281508,-0.02595968167832989,-0.09325663913586614
1033398,0-20,0.03455233444095804,-0.017179675200217917,-0.12689182518567765
569939,0-20,-0.008343769599184767,-0.008686296940880295,-0.08385628687602661
640103,0-20,0.01681022003508649,-0.023269824296788987,-0.10311923456541902
198807,0-20,0.0032324592154613883,-0.0427708889668563,-0.08249220367092237
1010059,0-20,-0.0026792999263198555,-0.02863314541837222,-0.06546090206776248
1010700,0-20,-0.011351010907334771,-0.05870120509588463,-0.1003470336782064
705681,0-20,0.015124997807689888,-0.06316915612636213,-0.11547694578263668
828588,0-20,-0.013905710843944919,-0.018402576946839472,-0.07165426338495177
881582,0-20,0.017859049914591696,-0.0073973884375742255,-0.0969166219933017
172981,0-20,0.0045821648486250935,-0.06276619976780032,-0.11503672811740487
1049867,0-20,0.03924895832880589,-0.015880075452289102,-0.10789778784403047
1042158,0-20,-0.015136153441586302,-0.036373134303161705,-0.11533131529627677
1046569,0-20,0.039865884385941644,0.005030308249906877,-0.025936798162673275
619805,0-20,-0.007516613864549833,-0.04920712283682171,-0.09409039286242732
932495,0-20,0.03939676397545315,0.03505199339415227,-0.09656243418115262
273449,0-20,0.016193716945328195,-0.02580848040332803,-0.08007057288686761
837476,0-20,-0.03174591847909439,-0.0459626910353739,-0.09974184359759025
987845,0-20,0.05555718301410574,0.012035442988999095,-0.09299817160397864
361620,0-20,-0.008719676898216858,-0.0729032668742178,-0.14652980513466862
594105,0-20,0.03443134077277943,-0.029970803860013714,-0.09436044095701795
665972,0-20,0.049501995685900205,0.006702447591558983,-0.0937458179895573
63548,0-20,0.013011244890363689,-0.038974082388470846,-0.14928295467306085
617246,0-20,0.024829227522384912,0.0089073531346711,-0.0883622098335574
1083267,0-20,0.04224928691345337,0.0019757640704868643,-0.07957907859679793
626462,0-20,-0.0006308531855249468,-0.03157996899360087,-0.131877963840965
1072506,0-20,-0.015215062786792986,-0.028984869173043774,-0.0948471956653794
1097118,0-20,0.0063706956542737,-0.022638045293242065,-0.09956460915548992
